Date;Time of day;Germany/Luxembourg[€/MWh];Denmark 1[€/MWh];Denmark 2[€/MWh];France[€/MWh];Northern Italy[€/MWh];Netherlands[€/MWh];Poland[€/MWh];Sweden 4[€/MWh];Switzerland[€/MWh];Slovenia[€/MWh];Czech Republic[€/MWh];Hungary[€/MWh];Austria[€/MWh];DE/AT/LU[€/MWh];Belgium[€/MWh];Norway 2[€/MWh]
Jan 3, 2021;3:00 PM;39.57;26.5;26.5;41.27;45.53;44.67;36.76;26.5;50.17;40.1;42.9;42.9;40.1;-;42.22;26.5
Jan 3, 2021;4:00 PM;36.11;28.05;33.27;49.92;49.92;57.67;43.33;33.27;52.78;40.63;48.78;50.83;40.63;-;59.37;28.05
Jan 3, 2021;5:00 PM;45.04;28.53;43.96;55.16;58;70;44.45;43.96;57.77;48.38;50.52;52.73;48.38;-;62.12;28.53
Jan 3, 2021;6:00 PM;52.56;28.17;43.35;59.29;59.5;59.9;43.35;43.35;60.59;54.9;51.44;54.02;54.9;-;58.12;28.17
Jan 3, 2021;7:00 PM;45.84;27.92;27.92;61.09;61.09;44.3;42.45;27.92;60.93;49.68;50.38;53.39;49.68;-;42.9;27.92
Jan 3, 2021;8:00 PM;35.83;27.56;27.56;60;60;42;36.95;27.56;60.09;41.47;47.04;49.49;41.47;-;28.46;27.56
Jan 3, 2021;9:00 PM;33.31;27.04;27.04;59.4;59.4;41.23;34.79;27.04;57.99;39.45;42.9;43.11;39.45;-;26.84;27.04
Jan 3, 2021;10:00 PM;34.98;26.18;26.18;55.36;55.36;42.9;38.7;26.18;56.94;39.37;40;40;39.37;-;26.93;26.18
Jan 3, 2021;11:00 PM;27.39;24.92;24.92;53.06;53.06;33.5;36.85;24.92;55.04;32.9;31.21;31.21;32.9;-;16.56;24.92
Jan 4, 2021;12:00 AM;29.33;24.66;24.66;50.23;50.23;41.96;38.97;24.66;50.28;34.09;28.14;28.14;34.09;-;24.02;24.66
Jan 4, 2021;1:00 AM;24.82;24.05;24.05;47.01;46.64;39;37.29;24.05;45.45;29.88;27.2;23.92;29.88;-;19.42;24.05
Jan 4, 2021;2:00 AM;24.65;23.88;23.88;43.79;43.79;37.14;36.63;23.88;44.5;29;25.8;21.2;29;-;20;23.88
Jan 4, 2021;3:00 AM;24.8;24.03;24.03;41.65;41.65;35.79;36.11;24.03;40.86;28.63;23.17;20.99;28.63;-;20.71;24.03
Jan 4, 2021;4:00 AM;27.71;24.58;24.58;41.62;41.62;36.63;38.72;24.58;41.17;30.87;26.93;26.93;30.87;-;24.34;24.58
Jan 4, 2021;5:00 AM;28.58;25.84;25.84;44.5;44.5;41.83;39.24;25.84;46.09;32.08;31;31;32.08;-;23.25;25.84
Jan 4, 2021;6:00 AM;37.04;28.21;28.21;56;58.88;38.74;42.86;28.21;58.19;41.32;43.2;43.2;41.32;-;30.51;28.21
